seed,method,task,consumer,metric,direction,real_only_mean,real_only_mean_worst_fold,transfer_mean,transfer_mean_worst_fold,raw_delta_transfer_minus_real,normalized_improvement,transfer_improved,method_label,task_label,metric_label,statistical_unit,descriptive_only
29,mult,maneuver_intensity_classification,minirocket,macro_f1,higher,0.914002177160072,0.7420065314802157,0.8935725437273425,0.6807176311820274,-0.02042963343272952,-0.02042963343272952,False,MulT,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
43,mult,maneuver_intensity_classification,minirocket,macro_f1,higher,0.8167388167388167,0.4502164502164502,0.7753254102999434,0.3259762308998302,-0.04141340643887326,-0.04141340643887326,False,MulT,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
17,contiformer,maneuver_intensity_classification,minirocket,macro_f1,higher,0.9627039627039627,0.8881118881118882,0.9596255596255596,0.8788766788766789,-0.0030784030784031247,-0.0030784030784031247,False,ContiFormer,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
29,contiformer,maneuver_intensity_classification,minirocket,macro_f1,higher,0.934156378600823,0.8024691358024691,0.9299145299145298,0.7897435897435897,-0.0042418486862931815,-0.0042418486862931815,False,ContiFormer,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
43,contiformer,maneuver_intensity_classification,minirocket,macro_f1,higher,0.925934537187734,0.7778036115632023,0.9155773420479304,0.7467320261437909,-0.010357195139803599,-0.010357195139803599,False,ContiFormer,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
17,chronaris,maneuver_intensity_classification,minirocket,macro_f1,higher,0.8038679073161831,0.4116037219485495,0.7637637637637638,0.2912912912912913,-0.040104143552419314,-0.040104143552419314,False,Chronaris,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
29,chronaris,maneuver_intensity_classification,minirocket,macro_f1,higher,0.7076023391812866,0.1228070175438596,0.7076023391812866,0.1228070175438596,0.0,0.0,False,Chronaris,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
43,chronaris,maneuver_intensity_classification,minirocket,macro_f1,higher,0.7066993464052288,0.1200980392156862,0.7323775388291517,0.1971326164874551,0.025678192423922885,0.025678192423922885,True,Chronaris,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
17,physiology_only,physiology_response_regression,minirocket,rmse,lower,0.7694175378646345,2.258868191799895,0.5983690124021075,1.7519154036586289,-0.17104852546252702,0.17104852546252702,True,生理单流,未来生理响应预测,RMSE（越低越好）,view_fold,True
29,physiology_only,physiology_response_regression,minirocket,rmse,lower,0.6410286159382809,1.874844642393701,0.7991366320611561,2.352741359403006,0.15810801612287528,-0.15810801612287528,False,生理单流,未来生理响应预测,RMSE（越低越好）,view_fold,True
43,physiology_only,physiology_response_regression,minirocket,rmse,lower,0.9929444836738004,2.9266119888929967,0.8898356945756514,2.624902845355428,-0.10310878909814902,0.10310878909814902,True,生理单流,未来生理响应预测,RMSE（越低越好）,view_fold,True
17,vehicle_only,physiology_response_regression,minirocket,rmse,lower,0.298595275832189,0.8588191681778415,0.2977363672961554,0.8492481010906071,-0.000858908536033598,0.000858908536033598,True,航电单流,未来生理响应预测,RMSE（越低越好）,view_fold,True
29,vehicle_only,physiology_response_regression,minirocket,rmse,lower,0.2992009329609962,0.8560600705884873,0.2972711135843701,0.8472293816869578,-0.0019298193766261185,0.0019298193766261185,True,航电单流,未来生理响应预测,RMSE（越低越好）,view_fold,True
43,vehicle_only,physiology_response_regression,minirocket,rmse,lower,0.3107082599582965,0.8923587008032097,0.3043221278684738,0.869113964445938,-0.006386132089822694,0.006386132089822694,True,航电单流,未来生理响应预测,RMSE（越低越好）,view_fold,True
17,naive_time_sync,physiology_response_regression,minirocket,rmse,lower,0.3269687608336332,0.9542613954007236,0.3269687608336332,0.9542613954007236,0.0,-0.0,False,朴素时间同步,未来生理响应预测,RMSE（越低越好）,view_fold,True
29,naive_time_sync,physiology_response_regression,minirocket,rmse,lower,0.303028495500738,0.8802235429374565,0.303028495500738,0.8802235429374565,0.0,-0.0,False,朴素时间同步,未来生理响应预测,RMSE（越低越好）,view_fold,True
43,naive_time_sync,physiology_response_regression,minirocket,rmse,lower,0.3505125320066178,1.0226039325462322,0.3505125320066178,1.0226039325462322,0.0,-0.0,False,朴素时间同步,未来生理响应预测,RMSE（越低越好）,view_fold,True
17,mult,physiology_response_regression,minirocket,rmse,lower,0.3107298980101013,0.9055743518988608,0.2828799316088433,0.8234349911506681,-0.02784996640125803,0.02784996640125803,True,MulT,未来生理响应预测,RMSE（越低越好）,view_fold,True
29,mult,physiology_response_regression,minirocket,rmse,lower,0.2810417358183881,0.816228304707716,0.3063372144183251,0.8923949538303456,0.025295478599937027,-0.025295478599937027,False,MulT,未来生理响应预测,RMSE（越低越好）,view_fold,True
43,mult,physiology_response_regression,minirocket,rmse,lower,0.2817413058542539,0.8176755523045905,0.3008418831684117,0.8780153698072112,0.01910057731415782,-0.01910057731415782,False,MulT,未来生理响应预测,RMSE（越低越好）,view_fold,True
17,contiformer,physiology_response_regression,minirocket,rmse,lower,0.3303786793532592,0.947546274546721,0.3055130097183665,0.8732013986772377,-0.02486566963489273,0.02486566963489273,True,ContiFormer,未来生理响应预测,RMSE（越低越好）,view_fold,True
29,contiformer,physiology_response_regression,minirocket,rmse,lower,0.3135839568801465,0.9004918848035087,0.3194251284748824,0.913704328352428,0.0058411715947359055,-0.0058411715947359055,False,ContiFormer,未来生理响应预测,RMSE（越低越好）,view_fold,True
43,contiformer,physiology_response_regression,minirocket,rmse,lower,0.2901513555783466,0.823862952201106,0.2994958519490701,0.8493777947797443,0.009344496370723487,-0.009344496370723487,False,ContiFormer,未来生理响应预测,RMSE（越低越好）,view_fold,True
17,chronaris,physiology_response_regression,minirocket,rmse,lower,0.3063936382075421,0.8824193472470035,0.3157883583294913,0.9033821173000957,0.009394720121949196,-0.009394720121949196,False,Chronaris,未来生理响应预测,RMSE（越低越好）,view_fold,True
29,chronaris,physiology_response_regression,minirocket,rmse,lower,0.4092271658531929,1.1922911265980594,0.3760026579792286,1.0907352320212569,-0.033224507873964304,0.033224507873964304,True,Chronaris,未来生理响应预测,RMSE（越低越好）,view_fold,True
43,chronaris,physiology_response_regression,minirocket,rmse,lower,0.2938633016644703,0.845688311609854,0.2989770933262929,0.8532380436734718,0.005113791661822631,-0.005113791661822631,False,Chronaris,未来生理响应预测,RMSE（越低越好）,view_fold,True
