sample_id,group_id,role,profile_id,trajectory_id,observed_path,observed_sha256,source_kind,ground_truth_opened,locked_test_member
g1_state_space__train_profile_001__trajectory_010__seed_100010__clean_asynchronous::context_000.000,train_profile_001,train,train_profile_001,g1_state_space__train_profile_001__trajectory_010__seed_100010,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_001/g1_state_space__train_profile_001__trajectory_010__seed_100010/clean_asynchronous/raw_dual_stream.npz,3d189685f07af2218e0c77fc41f0da5b6bc9d585bb81a6a0cc7c673d9780549d,raw_dual_stream_only,False,False
g1_state_space__train_profile_001__trajectory_011__seed_100011__clean_asynchronous::context_000.000,train_profile_001,train,train_profile_001,g1_state_space__train_profile_001__trajectory_011__seed_100011,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_001/g1_state_space__train_profile_001__trajectory_011__seed_100011/clean_asynchronous/raw_dual_stream.npz,419799f1f3b312b01a11c7fb8e09767df3a429c9c8ee533b78a55674d62f3422,raw_dual_stream_only,False,False
g1_state_space__train_profile_002__trajectory_012__seed_100012__clean_asynchronous::context_000.000,train_profile_002,train,train_profile_002,g1_state_space__train_profile_002__trajectory_012__seed_100012,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_002/g1_state_space__train_profile_002__trajectory_012__seed_100012/clean_asynchronous/raw_dual_stream.npz,25f5ec36ddc553ecaa1c9ffdfe82a68b9557e62c5ba9754821c8abde3667a71b,raw_dual_stream_only,False,False
g1_state_space__train_profile_002__trajectory_013__seed_100013__clean_asynchronous::context_000.000,train_profile_002,train,train_profile_002,g1_state_space__train_profile_002__trajectory_013__seed_100013,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_002/g1_state_space__train_profile_002__trajectory_013__seed_100013/clean_asynchronous/raw_dual_stream.npz,24a2a328293b6138f531cee52e480e5b966686305d4a3f20a3b9384361f480c5,raw_dual_stream_only,False,False
g1_state_space__train_profile_002__trajectory_014__seed_100014__clean_asynchronous::context_000.000,train_profile_002,train,train_profile_002,g1_state_space__train_profile_002__trajectory_014__seed_100014,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_002/g1_state_space__train_profile_002__trajectory_014__seed_100014/clean_asynchronous/raw_dual_stream.npz,256ea6290eebf8e0ef8ad512283aeb70cf61875d9763759638f2d20b2c796e9a,raw_dual_stream_only,False,False
g1_state_space__train_profile_002__trajectory_015__seed_100015__clean_asynchronous::context_000.000,train_profile_002,train,train_profile_002,g1_state_space__train_profile_002__trajectory_015__seed_100015,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_002/g1_state_space__train_profile_002__trajectory_015__seed_100015/clean_asynchronous/raw_dual_stream.npz,96aa06e0308e75c4ea4d64e023869f26cfae05a35c7c0cdd66b1d10cb4295c9f,raw_dual_stream_only,False,False
g1_state_space__train_profile_002__trajectory_016__seed_100016__clean_asynchronous::context_000.000,train_profile_002,train,train_profile_002,g1_state_space__train_profile_002__trajectory_016__seed_100016,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_002/g1_state_space__train_profile_002__trajectory_016__seed_100016/clean_asynchronous/raw_dual_stream.npz,475c9d43879ba58b5a6ad809e6402b5db29bbd0f74711a6f441860e38cffb146,raw_dual_stream_only,False,False
g1_state_space__train_profile_002__trajectory_017__seed_100017__clean_asynchronous::context_000.000,train_profile_002,train,train_profile_002,g1_state_space__train_profile_002__trajectory_017__seed_100017,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_002/g1_state_space__train_profile_002__trajectory_017__seed_100017/clean_asynchronous/raw_dual_stream.npz,63622484555fa355b6764106b4caa8467e7aa1ef6f839fb64a303362a14458dc,raw_dual_stream_only,False,False
g1_state_space__train_profile_003__trajectory_018__seed_100018__clean_asynchronous::context_000.000,train_profile_003,train,train_profile_003,g1_state_space__train_profile_003__trajectory_018__seed_100018,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_003/g1_state_space__train_profile_003__trajectory_018__seed_100018/clean_asynchronous/raw_dual_stream.npz,c74912556c77f150883b49f9c9a9f84e6ae8e52371e99f0bbb4138e8520cebdc,raw_dual_stream_only,False,False
g1_state_space__train_profile_003__trajectory_019__seed_100019__clean_asynchronous::context_000.000,train_profile_003,train,train_profile_003,g1_state_space__train_profile_003__trajectory_019__seed_100019,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_003/g1_state_space__train_profile_003__trajectory_019__seed_100019/clean_asynchronous/raw_dual_stream.npz,a558a8e3ea0aeabd6dbadb447aaa8e26b01de4b36a891ab74f36c1096a939b65,raw_dual_stream_only,False,False
g1_state_space__train_profile_003__trajectory_020__seed_100020__clean_asynchronous::context_000.000,train_profile_003,train,train_profile_003,g1_state_space__train_profile_003__trajectory_020__seed_100020,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_003/g1_state_space__train_profile_003__trajectory_020__seed_100020/clean_asynchronous/raw_dual_stream.npz,b9a1ebe45876de1eb7a55b6eddf411f87f4847ece14e4fa4bcbf584b5a35d14f,raw_dual_stream_only,False,False
g1_state_space__train_profile_003__trajectory_021__seed_100021__clean_asynchronous::context_000.000,train_profile_003,train,train_profile_003,g1_state_space__train_profile_003__trajectory_021__seed_100021,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_003/g1_state_space__train_profile_003__trajectory_021__seed_100021/clean_asynchronous/raw_dual_stream.npz,e073c59da5ec6fb1ae20dc55bba07e8e7a295217e857524a05a3410bf7d5581d,raw_dual_stream_only,False,False
g1_state_space__train_profile_003__trajectory_022__seed_100022__clean_asynchronous::context_000.000,train_profile_003,train,train_profile_003,g1_state_space__train_profile_003__trajectory_022__seed_100022,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_003/g1_state_space__train_profile_003__trajectory_022__seed_100022/clean_asynchronous/raw_dual_stream.npz,893f9be5cd31abd27ceb24121c09e0b711e1360d538cb068a703cfab66bbee62,raw_dual_stream_only,False,False
g1_state_space__train_profile_003__trajectory_023__seed_100023__clean_asynchronous::context_000.000,train_profile_003,train,train_profile_003,g1_state_space__train_profile_003__trajectory_023__seed_100023,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_003/g1_state_space__train_profile_003__trajectory_023__seed_100023/clean_asynchronous/raw_dual_stream.npz,74464b65e8ea1807439dbc677b7b850e8f097282d7589a9bd2efc5f0e2e0c8b2,raw_dual_stream_only,False,False
g1_state_space__train_profile_004__trajectory_024__seed_100024__clean_asynchronous::context_000.000,train_profile_004,train,train_profile_004,g1_state_space__train_profile_004__trajectory_024__seed_100024,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_004/g1_state_space__train_profile_004__trajectory_024__seed_100024/clean_asynchronous/raw_dual_stream.npz,e8b3a087170fc22584861e2a1107cd9f7628c1c0ebf14f2d9f0d714abaa5ded2,raw_dual_stream_only,False,False
g1_state_space__train_profile_004__trajectory_025__seed_100025__clean_asynchronous::context_000.000,train_profile_004,train,train_profile_004,g1_state_space__train_profile_004__trajectory_025__seed_100025,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_004/g1_state_space__train_profile_004__trajectory_025__seed_100025/clean_asynchronous/raw_dual_stream.npz,71547d9500875b05201bfc03250f40008b7cda5e419dc8773709e5fa21fac364,raw_dual_stream_only,False,False
g1_state_space__train_profile_004__trajectory_026__seed_100026__clean_asynchronous::context_000.000,train_profile_004,train,train_profile_004,g1_state_space__train_profile_004__trajectory_026__seed_100026,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_004/g1_state_space__train_profile_004__trajectory_026__seed_100026/clean_asynchronous/raw_dual_stream.npz,8b1043d8ea3f6066c11a5201eb4c9f603b1ffb9b4456f494720bef3c3d9859ce,raw_dual_stream_only,False,False
g1_state_space__train_profile_004__trajectory_027__seed_100027__clean_asynchronous::context_000.000,train_profile_004,train,train_profile_004,g1_state_space__train_profile_004__trajectory_027__seed_100027,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_004/g1_state_space__train_profile_004__trajectory_027__seed_100027/clean_asynchronous/raw_dual_stream.npz,017131720649f4805278c76ce3d64602f4e916358ac330daa058591566da5ab4,raw_dual_stream_only,False,False
g1_state_space__train_profile_004__trajectory_028__seed_100028__clean_asynchronous::context_000.000,train_profile_004,train,train_profile_004,g1_state_space__train_profile_004__trajectory_028__seed_100028,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_004/g1_state_space__train_profile_004__trajectory_028__seed_100028/clean_asynchronous/raw_dual_stream.npz,d18072f8373d52cd86efb9ab0e9662fefa44180d33a1c600098c2416fbc12413,raw_dual_stream_only,False,False
g1_state_space__train_profile_004__trajectory_029__seed_100029__clean_asynchronous::context_000.000,train_profile_004,train,train_profile_004,g1_state_space__train_profile_004__trajectory_029__seed_100029,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_004/g1_state_space__train_profile_004__trajectory_029__seed_100029/clean_asynchronous/raw_dual_stream.npz,8d25927b9a32e98747e2c399fc5ede29abe48114ca1ca603899fdc090de8e652,raw_dual_stream_only,False,False
g1_state_space__train_profile_005__trajectory_030__seed_100030__clean_asynchronous::context_000.000,train_profile_005,train,train_profile_005,g1_state_space__train_profile_005__trajectory_030__seed_100030,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_005/g1_state_space__train_profile_005__trajectory_030__seed_100030/clean_asynchronous/raw_dual_stream.npz,07baa936b86f0ad9753e82673931b1a4025b938078f24462468dee1f2dd9ee32,raw_dual_stream_only,False,False
g1_state_space__train_profile_005__trajectory_031__seed_100031__clean_asynchronous::context_000.000,train_profile_005,train,train_profile_005,g1_state_space__train_profile_005__trajectory_031__seed_100031,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_005/g1_state_space__train_profile_005__trajectory_031__seed_100031/clean_asynchronous/raw_dual_stream.npz,132e3fa3ab1892d37e48aea801975a4cb7f1dd3b72c2d42b1b497aa2b3e68cf1,raw_dual_stream_only,False,False
g1_state_space__train_profile_005__trajectory_032__seed_100032__clean_asynchronous::context_000.000,train_profile_005,train,train_profile_005,g1_state_space__train_profile_005__trajectory_032__seed_100032,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_005/g1_state_space__train_profile_005__trajectory_032__seed_100032/clean_asynchronous/raw_dual_stream.npz,cc66da18a2cf51a446f34d4d70e0f67cfb16ac0bf714f3c54d336a4c737928c3,raw_dual_stream_only,False,False
g1_state_space__train_profile_005__trajectory_033__seed_100033__clean_asynchronous::context_000.000,train_profile_005,train,train_profile_005,g1_state_space__train_profile_005__trajectory_033__seed_100033,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_005/g1_state_space__train_profile_005__trajectory_033__seed_100033/clean_asynchronous/raw_dual_stream.npz,73b4cdd6b20c7bcf5de2d6ae7bbf3a3076f90c7b69469747e57d0b2dbc1f4a81,raw_dual_stream_only,False,False
g1_state_space__train_profile_005__trajectory_034__seed_100034__clean_asynchronous::context_000.000,train_profile_005,train,train_profile_005,g1_state_space__train_profile_005__trajectory_034__seed_100034,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_005/g1_state_space__train_profile_005__trajectory_034__seed_100034/clean_asynchronous/raw_dual_stream.npz,e2b513eef6ab0cb28767828699b4685a5584085a659e0b7eb932a7ba0e982b5f,raw_dual_stream_only,False,False
g1_state_space__train_profile_005__trajectory_035__seed_100035__clean_asynchronous::context_000.000,train_profile_005,train,train_profile_005,g1_state_space__train_profile_005__trajectory_035__seed_100035,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_005/g1_state_space__train_profile_005__trajectory_035__seed_100035/clean_asynchronous/raw_dual_stream.npz,193ef1663b6eb03e75242e3cc2ea6e61b4545345d875d5f47cafbe3a40ac5810,raw_dual_stream_only,False,False
g1_state_space__train_profile_006__trajectory_036__seed_100036__clean_asynchronous::context_000.000,train_profile_006,train,train_profile_006,g1_state_space__train_profile_006__trajectory_036__seed_100036,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_006/g1_state_space__train_profile_006__trajectory_036__seed_100036/clean_asynchronous/raw_dual_stream.npz,b0d6a43f5b1d9873d1d19fdbd3077fef3bb0fdc1e0dce69a0dab84c9a122cdb2,raw_dual_stream_only,False,False
g1_state_space__train_profile_006__trajectory_037__seed_100037__clean_asynchronous::context_000.000,train_profile_006,train,train_profile_006,g1_state_space__train_profile_006__trajectory_037__seed_100037,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_006/g1_state_space__train_profile_006__trajectory_037__seed_100037/clean_asynchronous/raw_dual_stream.npz,bd88c0767cf7749368b1d645f16c19c58a6174b30644bf177903fd580787eaae,raw_dual_stream_only,False,False
g1_state_space__train_profile_006__trajectory_038__seed_100038__clean_asynchronous::context_000.000,train_profile_006,train,train_profile_006,g1_state_space__train_profile_006__trajectory_038__seed_100038,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_006/g1_state_space__train_profile_006__trajectory_038__seed_100038/clean_asynchronous/raw_dual_stream.npz,07ea4bf5a61694def8d591baba8a76c08c7d302cf5ed6d328a912d4d6ec8c4f5,raw_dual_stream_only,False,False
g1_state_space__train_profile_006__trajectory_039__seed_100039__clean_asynchronous::context_000.000,train_profile_006,train,train_profile_006,g1_state_space__train_profile_006__trajectory_039__seed_100039,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_006/g1_state_space__train_profile_006__trajectory_039__seed_100039/clean_asynchronous/raw_dual_stream.npz,0bef6c3c6e086362612d38cefd3689acbb1f67b951ed7461d0021ff282c0541a,raw_dual_stream_only,False,False
g1_state_space__train_profile_006__trajectory_040__seed_100040__clean_asynchronous::context_000.000,train_profile_006,train,train_profile_006,g1_state_space__train_profile_006__trajectory_040__seed_100040,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_006/g1_state_space__train_profile_006__trajectory_040__seed_100040/clean_asynchronous/raw_dual_stream.npz,ec2b3bbb0c954b151e8c903e958e2475de345fd063ab7cce0abf81c67da1029b,raw_dual_stream_only,False,False
g1_state_space__train_profile_006__trajectory_041__seed_100041__clean_asynchronous::context_000.000,train_profile_006,train,train_profile_006,g1_state_space__train_profile_006__trajectory_041__seed_100041,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_006/g1_state_space__train_profile_006__trajectory_041__seed_100041/clean_asynchronous/raw_dual_stream.npz,b7d3c7e4353a2fbd752ea9d17fe66e9a66639f6832e9bc20b9384abc0d73bb5f,raw_dual_stream_only,False,False
g1_state_space__train_profile_007__trajectory_042__seed_100042__clean_asynchronous::context_000.000,train_profile_007,train,train_profile_007,g1_state_space__train_profile_007__trajectory_042__seed_100042,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_007/g1_state_space__train_profile_007__trajectory_042__seed_100042/clean_asynchronous/raw_dual_stream.npz,8dfb8374f2c0069f74fa36d8933b2382f81859f5322aae8a31bd4bdf3e2dd55a,raw_dual_stream_only,False,False
g1_state_space__train_profile_007__trajectory_043__seed_100043__clean_asynchronous::context_000.000,train_profile_007,train,train_profile_007,g1_state_space__train_profile_007__trajectory_043__seed_100043,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_007/g1_state_space__train_profile_007__trajectory_043__seed_100043/clean_asynchronous/raw_dual_stream.npz,eb9eaa87fa8dd12d0145b0719544c174ad58213682f480a7efe5674b00b3b861,raw_dual_stream_only,False,False
g1_state_space__train_profile_007__trajectory_044__seed_100044__clean_asynchronous::context_000.000,train_profile_007,train,train_profile_007,g1_state_space__train_profile_007__trajectory_044__seed_100044,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_007/g1_state_space__train_profile_007__trajectory_044__seed_100044/clean_asynchronous/raw_dual_stream.npz,b1e29f7b4a22bf120fa6749f39ce83c8b457e4119478e733a492f44386c11b1c,raw_dual_stream_only,False,False
g1_state_space__train_profile_007__trajectory_045__seed_100045__clean_asynchronous::context_000.000,train_profile_007,train,train_profile_007,g1_state_space__train_profile_007__trajectory_045__seed_100045,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_007/g1_state_space__train_profile_007__trajectory_045__seed_100045/clean_asynchronous/raw_dual_stream.npz,840592d2aa178eac5c9d747413a307d77e3a9f284af28b4e325741f394e8ab4e,raw_dual_stream_only,False,False
g1_state_space__train_profile_007__trajectory_046__seed_100046__clean_asynchronous::context_000.000,train_profile_007,train,train_profile_007,g1_state_space__train_profile_007__trajectory_046__seed_100046,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_007/g1_state_space__train_profile_007__trajectory_046__seed_100046/clean_asynchronous/raw_dual_stream.npz,86b550596c296f7f33a9ea8a982150f93e60b1f15c21ffecc88e8ebe3ec31a67,raw_dual_stream_only,False,False
g1_state_space__train_profile_007__trajectory_047__seed_100047__clean_asynchronous::context_000.000,train_profile_007,train,train_profile_007,g1_state_space__train_profile_007__trajectory_047__seed_100047,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_007/g1_state_space__train_profile_007__trajectory_047__seed_100047/clean_asynchronous/raw_dual_stream.npz,9c5cd1670404ad4805e0b38550f334f7bab752c9cc2274ad93ec6c2a4620ca1a,raw_dual_stream_only,False,False
g1_state_space__train_profile_008__trajectory_048__seed_100048__clean_asynchronous::context_000.000,train_profile_008,train,train_profile_008,g1_state_space__train_profile_008__trajectory_048__seed_100048,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_008/g1_state_space__train_profile_008__trajectory_048__seed_100048/clean_asynchronous/raw_dual_stream.npz,a0286eb982d91a0e21ed622abd4a9ac03fadcd67acb795c176dc0d87ecb8fd59,raw_dual_stream_only,False,False
g1_state_space__train_profile_008__trajectory_049__seed_100049__clean_asynchronous::context_000.000,train_profile_008,train,train_profile_008,g1_state_space__train_profile_008__trajectory_049__seed_100049,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_008/g1_state_space__train_profile_008__trajectory_049__seed_100049/clean_asynchronous/raw_dual_stream.npz,78be2b7beee7dd206d7c7a2ff12ff07b2cf14b6563c75a99d913756f6998e0db,raw_dual_stream_only,False,False
g1_state_space__train_profile_008__trajectory_050__seed_100050__clean_asynchronous::context_000.000,train_profile_008,train,train_profile_008,g1_state_space__train_profile_008__trajectory_050__seed_100050,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_008/g1_state_space__train_profile_008__trajectory_050__seed_100050/clean_asynchronous/raw_dual_stream.npz,5880f62a71b86e344c216c9054c2c972810f88e3ec2cf31dfb447658b72d03a2,raw_dual_stream_only,False,False
g1_state_space__train_profile_008__trajectory_051__seed_100051__clean_asynchronous::context_000.000,train_profile_008,train,train_profile_008,g1_state_space__train_profile_008__trajectory_051__seed_100051,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_008/g1_state_space__train_profile_008__trajectory_051__seed_100051/clean_asynchronous/raw_dual_stream.npz,78112ffe4c270109966cc066a87c7139c39051db39a8f113b0e46a90b2478ed6,raw_dual_stream_only,False,False
g1_state_space__train_profile_008__trajectory_052__seed_100052__clean_asynchronous::context_000.000,train_profile_008,train,train_profile_008,g1_state_space__train_profile_008__trajectory_052__seed_100052,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_008/g1_state_space__train_profile_008__trajectory_052__seed_100052/clean_asynchronous/raw_dual_stream.npz,8b95fcea6f1de00180dc47937136222623e78e743861fcdbb0e0c04bb928a30e,raw_dual_stream_only,False,False
g1_state_space__train_profile_008__trajectory_053__seed_100053__clean_asynchronous::context_000.000,train_profile_008,train,train_profile_008,g1_state_space__train_profile_008__trajectory_053__seed_100053,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_008/g1_state_space__train_profile_008__trajectory_053__seed_100053/clean_asynchronous/raw_dual_stream.npz,1209caa994c60cdf745b564be044ef718fba6928901642f8442e2fe31e4ff1ba,raw_dual_stream_only,False,False
g1_state_space__train_profile_009__trajectory_054__seed_100054__clean_asynchronous::context_000.000,train_profile_009,train,train_profile_009,g1_state_space__train_profile_009__trajectory_054__seed_100054,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_009/g1_state_space__train_profile_009__trajectory_054__seed_100054/clean_asynchronous/raw_dual_stream.npz,c47d53a6a4d063895f7f8cf3651dff23411aaa48fcd89afe42015bb6947d49ca,raw_dual_stream_only,False,False
g1_state_space__train_profile_009__trajectory_055__seed_100055__clean_asynchronous::context_000.000,train_profile_009,train,train_profile_009,g1_state_space__train_profile_009__trajectory_055__seed_100055,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_009/g1_state_space__train_profile_009__trajectory_055__seed_100055/clean_asynchronous/raw_dual_stream.npz,07e8bb0374f752b295b24518293f4d3c9d8e3613b21f2500669b316a3c0aadeb,raw_dual_stream_only,False,False
g1_state_space__train_profile_009__trajectory_056__seed_100056__clean_asynchronous::context_000.000,train_profile_009,train,train_profile_009,g1_state_space__train_profile_009__trajectory_056__seed_100056,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_009/g1_state_space__train_profile_009__trajectory_056__seed_100056/clean_asynchronous/raw_dual_stream.npz,35cec3232afdd8c7fc3e1a13c99c29da96c1bf53f9df56381f7e5afe2cc724a0,raw_dual_stream_only,False,False
g1_state_space__train_profile_009__trajectory_057__seed_100057__clean_asynchronous::context_000.000,train_profile_009,train,train_profile_009,g1_state_space__train_profile_009__trajectory_057__seed_100057,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_009/g1_state_space__train_profile_009__trajectory_057__seed_100057/clean_asynchronous/raw_dual_stream.npz,d1863a78ce633f80bba658f709e609d12e3d1d0fdb175c0f22227644dc8c1bb9,raw_dual_stream_only,False,False
g1_state_space__train_profile_009__trajectory_058__seed_100058__clean_asynchronous::context_000.000,train_profile_009,train,train_profile_009,g1_state_space__train_profile_009__trajectory_058__seed_100058,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_009/g1_state_space__train_profile_009__trajectory_058__seed_100058/clean_asynchronous/raw_dual_stream.npz,3a5b91a2995933d0ddd9e704e8325a37c00b13c008539448d8c545b245123ce4,raw_dual_stream_only,False,False
g1_state_space__train_profile_009__trajectory_059__seed_100059__clean_asynchronous::context_000.000,train_profile_009,train,train_profile_009,g1_state_space__train_profile_009__trajectory_059__seed_100059,artifacts/application_evaluation/2026-07-10_aviation-simulation-formal/train/train_profile_009/g1_state_space__train_profile_009__trajectory_059__seed_100059/clean_asynchronous/raw_dual_stream.npz,fd84ea8632ec2b7194fcca01b039c666655a24b27735fe47ad8404161d3daf44,raw_dual_stream_only,False,False
